t_sec,rho,v_mps,n_agents
775.242,0.5,0.3060054168407229,1
775.275,0.5,0.19139835962003018,1
775.309,0.5,0.07122347384749952,1
775.342,0.5,0.33298397965731985,1
775.475,0.5,0.9070628876988034,1
779.847,0.5,0.8127649540644815,1
779.88,0.5,0.9248261563285837,1
779.913,0.5,2.2761252302372217,1
779.947,0.5,1.6897224530537134,1
779.98,0.5,1.4242862838975074,1
780.013,0.5,0.7962086650927419,1
780.047,0.5,0.6104234967456046,1
780.08,0.5,0.49127991713495517,1
780.113,0.5,0.6194494187768245,1
780.147,0.5,0.43387380015646687,1
780.18,0.5,0.44020307429584576,1
780.214,0.5,0.5440232360650362,1
780.247,0.5,0.7549188687695034,1
780.28,0.5,0.5605087886745488,1
780.314,0.5,0.7327153726272194,1
780.347,0.5,1.106215446324245,1
780.38,0.5,1.2949161286725146,1
780.414,0.5,1.5449233985566826,1
780.447,0.5,1.751440789459092,1
780.48,0.5,1.106215446324245,1
780.514,0.5,1.1886586009924147,1
780.547,0.5,0.5317784898440359,1
780.581,0.5,0.44207353423308915,1
780.614,0.5,0.5748051120205468,1
780.647,0.5,0.401568492184545,1
780.681,0.5,0.4631013396915184,1
780.714,0.5,0.6604358484035884,1
780.747,0.5,0.8656577892338938,1
780.781,0.5,1.1919597989059176,1
780.814,0.5,2.5690903147676742,1
780.848,0.5,0.6513905737482323,1
780.914,0.5,0.5545837032029994,1
780.948,0.5,0.7259610752080797,1
780.981,0.5,0.4574431629330123,1
781.014,1.0,0.626555873554445,2
781.048,1.0,0.7317120201532226,2
781.081,1.0,0.694769163963686,2
781.114,1.0,0.48523040354098523,2
781.148,1.0,0.6901271600282954,2
781.181,1.0,0.7497571133079344,2
781.215,1.0,0.8549716738622456,2
781.248,1.0,0.6420495730471183,2
781.281,0.5,0.7985469598951355,1
781.315,0.5,0.5478719434946026,1
781.348,0.5,0.5202782222447729,1
781.381,0.5,0.5110177981834788,1
781.415,0.5,0.5046637884844272,1
781.448,0.5,0.5769213398167626,1
781.481,1.0,0.37377600792709875,2
781.515,1.0,0.3461657900814473,2
781.548,1.0,0.8487674327625425,2
781.582,0.5,0.4217020967495326,1
781.615,0.5,0.6836098333627789,1
781.648,1.0,0.7334556810245136,2
781.682,1.0,0.6458357759127049,2
781.715,0.5,0.27328182116207766,1
781.915,0.5,0.3129113118395745,1
792.226,0.5,1.8819566780404562,1
792.292,0.5,2.448378132341469,1
792.326,0.5,1.4063740282344044,1
792.359,0.5,0.7572527047047615,1
792.392,0.5,0.9235797340645306,1
792.426,0.5,0.8139516222966152,1
792.459,0.5,0.5744296644774715,1
792.492,0.5,0.6123455626535965,1
792.526,0.5,0.5360518415352868,1
792.559,0.5,0.4528984646124042,1
792.593,0.5,0.5012094055547498,1
792.626,0.5,0.2884606699083703,1
792.659,0.5,1.918061328347301,1
792.693,0.5,1.8022603803089232,1
792.726,0.5,1.8184514721235843,1
792.759,0.5,1.2706413614176377,1
792.793,0.5,1.0326892880339258,1
792.826,0.5,1.28586034592759,1
792.86,0.5,0.6732119170500984,1
792.893,0.5,0.7794315600067135,1
792.926,0.5,0.5868339942843589,1
792.96,0.5,0.5180705595559412,1
792.993,0.5,2.307928750953743,1
793.026,0.5,2.005626432696769,1
793.06,0.5,2.145685674415924,1
793.093,0.5,1.9986841481899744,1
793.126,0.5,1.3782327830019148,1
793.16,0.5,0.9999224461902684,1
793.193,0.5,1.5529832490585616,1
793.227,0.5,1.4093653236055188,1
793.26,0.5,1.285382179180494,1
793.293,0.5,0.870684084422372,1
793.327,0.5,0.7942045575044322,1
793.36,0.5,0.6083457089409556,1
793.393,0.5,0.4801721361491662,1
793.427,0.5,0.98292538445013,1
793.46,0.5,1.0520159918050962,1
793.493,0.5,1.18172997362884,1
793.527,0.5,1.0536615971454604,1
793.56,0.5,1.045273486477608,1
793.594,0.5,1.562449294497249,1
793.627,0.5,0.9824653874217228,1
793.66,0.5,0.6264212679760083,1
793.694,0.5,0.5474540741194249,1
793.727,0.5,0.38813516525742664,1
793.76,0.5,0.329231084842503,1
793.794,0.5,0.3942462877908567,1
793.827,0.5,0.47312248126195044,1
793.861,0.5,0.45583174207904054,1
793.894,0.5,0.6480937198116598,1
793.927,0.5,0.44020307429435196,1
793.961,0.5,0.41842430948583265,1
793.994,0.5,0.7718018358218448,1
794.027,0.5,0.8254262081571947,1
794.061,0.5,0.40698023882096296,1
794.094,0.5,1.9342985295088615,1
794.127,0.5,1.3779731899212593,1
794.161,0.5,1.2710985450531094,1
794.194,0.5,0.5378715285966728,1
794.228,0.5,1.4881230378097225,1
794.261,0.5,0.6813059616249053,1
794.294,0.5,0.47583972506740135,1
794.328,0.5,0.5953089872411974,1
794.361,0.5,0.7151596739927206,1
794.394,0.5,0.6123455626535965,1
794.428,0.5,0.5755533088874082,1
794.461,0.5,0.29199091745184563,1
794.494,0.5,0.15518057219123307,1
794.528,0.5,0.01980035050147694,1
794.561,0.5,0.13023674319343556,1
794.595,0.5,0.3488586564658857,1
794.628,0.5,0.46052087837534394,1
794.661,0.5,0.7389985153509613,1
794.695,0.5,0.5515892345799317,1
794.728,0.5,0.8161669322346446,1
794.761,0.5,1.0576285195585986,1
808.942,0.5,2.39009417451479,1
808.976,0.5,1.5211363121978143,1
809.009,0.5,1.1839134745398567,1
809.042,0.5,1.0302231263771333,1
809.076,0.5,0.7391709045365953,1
809.109,0.5,0.652819180960907,1
809.142,0.5,0.43535658421867107,1
809.176,0.5,0.4752478813910307,1
809.209,0.5,0.2253152688230905,1
809.243,0.5,0.2574045565182938,1
809.276,0.5,0.5010166721322032,1
809.309,0.5,0.8163691842522269,1
809.343,0.5,0.8819880976071355,1
809.376,0.5,0.7321495836165415,1
809.409,0.5,1.3287404585930136,1
